ntwk,state,site_name,ts,start,lat,lon,elev,county,huc
SNTL,WA,Alpine Meadows (908),,1994-September,47.78,-121.70,3500,King,Upper North Fork Tolt River (171100100501)
SNTL,WA,Beaver Pass (990),,2000-October,48.88,-121.26,3630,Whatcom,McNaught Creek-Skagit River (171100050305)
SNTL,WA,Blewett Pass (352),,1979-October,47.35,-120.68,4240,Chelan,Upper Peshastin Creek (170200110501)
SNTL,WA,Brown Top (1080),,2009-September,48.93,-121.20,5830,Whatcom,Maselpanik Creek (171100050301)
SNTL,WA,Buckinghorse (1107),,2008-June,47.71,-123.46,4870,Jefferson,Headwaters Elwha River (171100200501)
SNTL,WA,Bumping Ridge (375),,1978-October,46.81,-121.33,4610,Yakima,Upper Bumping River (170300020105)
SNTL,WA,Bunchgrass Mdw (376),,1979-October,48.69,-117.18,5000,Pend Oreille,East Branch Le Clerc Creek (170102160303)
SNTL,WA,Burnt Mountain (942),,1999-July,47.04,-121.94,4170,Pierce,Wilkeson Creek (171100140103)
SNTL,WA,Calamity (1109),,2008-August,45.90,-122.22,2500,Skamania,Lower Canyon Creek (170800020603)
SNTL,WA,Cayuse Pass (1085),,2006-October,46.87,-121.53,5240,Pierce,Headwaters White River (171100140301)
SNTL,WA,Corral Pass (418),,1979-October,47.02,-121.46,5800,Pierce,Silver Creek-White River (171100140307)
SNTL,WA,Cougar Mountain (420),,1979-October,47.28,-121.67,3200,King,North Fork Green River (171100130202)
SNTL,WA,Dungeness (943),,1998-October,47.87,-123.08,4010,Clallam,Headwaters Dungeness River (171100200301)
SNTL,WA,Easy Pass (998),,2008-September,48.86,-121.44,5270,Whatcom,Indian Creek-Chilliwack River (171100010101)
SNTL,WA,Elbow Lake (910),,1995-August,48.69,-121.91,3040,Whatcom,Wanlick Creek-South Fork Nooksack River (171100040401)
SNTL,WA,Fish Lake (478),,1979-October,47.54,-121.09,3430,Kittitas,Headwaters Cle Elum River (170300010102)
SNTL,WA,Gold Axe Camp (1159),,2010-October,48.95,-118.99,5360,Okanogan,Canada (170200020304)
SNTL,WA,Gold Mountain (1256),,2010-October,48.19,-118.46,4390,Ferry,Wilmont Creek (170200011703)
SNTL,WA,Green Lake (502),,1981-October,46.55,-121.17,5920,Yakima,Headwaters North Fork Ahtnum Creek (170300030101)
SNTL,WA,Grouse Camp (507),,1979-October,47.28,-120.49,5390,Kittitas,Upper Naneum Creek (170300010401)
SNTL,WA,Harts Pass (515),,1979-October,48.72,-120.66,6490,Okanogan,Canada (171100050201)
SNTL,WA,Hozomeen Camp (991),,2000-October,48.98,-121.08,1690,Whatcom,Klesilkwa River (171100050302)
SNTL,WA,Huckleberry Creek (928),,1997-October,47.07,-121.59,2250,Pierce,Silver Creek-White River (171100140307)
SNTL,WA,Indian Rock (1129),,2008-October,45.99,-120.81,5360,Klickitat,Headwaters Little Klickitat River (170701060301)
SNTL,WA,June Lake (553),,1980-October,46.15,-122.15,3440,Skamania,Swift Creek (170800020304)
SNTL,WA,Lone Pine (591),,1978-October,46.27,-121.96,3930,Skamania,Upper Clear Creek (170800020203)
SNTL,WA,Lost Horse (599),,1989-October,46.36,-121.08,5120,Yakima,Upper Simcoe Creek (170300030302)
SNTL,WA,Lyman Lake (606),,1978-October,48.20,-120.92,5980,Chelan,Upper Railroad Creek (170200090203)
SNTL,WA,Lynn Lake (1069),,2007-August,47.20,-121.78,3900,King,Howard Hansen Dam-Green River (171100130203)
SNTL,WA,Marten Ridge (999),,2006-July,48.76,-121.70,3520,Whatcom,Diablo Lake-Skagit River (171100050704)
SNTL,WA,Meadows Pass (897),,1993-October,47.28,-121.47,3230,King,Headwaters Cedar River (171100120101)
SNTL,WA,MF Nooksack (1011),,2002-October,48.82,-121.93,4970,Whatcom,Clearwater Creek (171100040303)
