Study,Location,date_min,date_max,temp_min,temp_max,hobo,ibutton,year,calibration_temp,snow_appearance_date,snow_disappearance_date,snow_cover_duration,minimum_soil_temp,longitude,latitude
Ailene,AE10-G1,10/5/11 15:00,7/24/12 11:23,-1.114,21.855,TRUE,FALSE,2012,0,11/3/11,7/15/12,254,-1.114,-121.74346,46.76869
Ailene,AE10-G1,9/13/12 12:00,8/5/13 12:00,-2.494,27.37,TRUE,FALSE,2013,0.186819672,10/21/12,7/4/13,243,-2.494,-121.74346,46.76869
Ailene,AE10-G2,10/5/11 15:00,7/11/12 17:22,-1.114,42.998,TRUE,FALSE,2012,0,11/3/11,7/7/12,248,-1.114,-121.74407,46.76837
Ailene,AE10-G2,9/13/12 12:00,8/5/13 3:00,-1.001,46.85,TRUE,FALSE,2013,0.370098326,10/21/12,6/25/13,237,-1.001,-121.74407,46.76837
Ailene,AE10-G3,10/5/11 15:00,7/11/12 16:13,-1.57,24.062,TRUE,FALSE,2012,0,11/3/11,7/6/12,243,-1.57,-121.7439,46.76855
Ailene,AE10-G3,9/13/12 12:00,8/5/13 15:00,-1.914,25.902,TRUE,FALSE,2013,0.290262286,10/21/12,6/22/13,233,-1.914,-121.7439,46.76855
Ailene,AE10-G4,10/5/11 15:00,7/11/12 15:02,-1.799,21.664,TRUE,FALSE,2012,0,11/3/11,7/4/12,241,-1.799,-121.74204,46.76875
Ailene,AE10-G4,9/13/12 15:00,8/5/13 12:00,-3.672,25.513,TRUE,FALSE,2013,0.1644875,10/21/12,6/20/13,229,-3.672,-121.74204,46.76875
Ailene,AE10-G5,10/5/11 12:00,7/11/12 17:50,-1.799,23.004,TRUE,FALSE,2012,0,11/3/11,7/3/12,239,-1.799,-121.74478,46.76839
Ailene,AE10-G5,9/13/12 12:00,8/5/13 15:00,-3.672,23.966,TRUE,FALSE,2013,0.28691321,10/23/12,6/21/13,228,-3.672,-121.74478,46.76839
Ailene,AE10-G1,10/5/11 15:00,7/24/12 11:21,-1.341,31.574,TRUE,FALSE,2012,0,11/3/11,7/14/12,255,-1.341,-121.74346,46.76869
Ailene,AE10-G1,9/13/12 12:00,8/5/13 12:00,-2.494,50.734,TRUE,FALSE,2013,0.349698864,10/21/12,7/2/13,242,-2.494,-121.74346,46.76869
Ailene,AE10-G2,10/5/11 15:00,7/11/12 17:17,-1.341,37.714,TRUE,FALSE,2012,0,11/3/11,7/5/12,245,-1.341,-121.74407,46.76837
Ailene,AE10-G2,9/13/12 12:00,8/5/13 15:00,-1.57,63.201,TRUE,FALSE,2013,0.267891094,10/21/12,6/23/13,233,-1.57,-121.74407,46.76837
Ailene,AE10-G3,10/5/11 15:00,7/11/12 16:18,-1.341,23.773,TRUE,FALSE,2012,0,11/3/11,7/7/12,246,-1.341,-121.7439,46.76855
Ailene,AE10-G3,9/13/12 12:00,8/5/13 12:00,-1.799,31.88,TRUE,FALSE,2013,0.274398734,10/21/12,6/25/13,236,-1.799,-121.7439,46.76855
Ailene,AE10-G4,10/5/11 15:00,7/11/12 15:00,-1.914,24.158,TRUE,FALSE,2012,0,11/3/11,7/6/12,245,-1.914,-121.74204,46.76875
