"DATE / TIME (PST)","SNOW WC INCHES","","SNO ADJ INCHES","","SNOW DP INCHES","","TEMP MN DEG F","","TEMP MX DEG F","","TEMP AV DEG F","","NSLR AV W/M^2",""
"02/02/2020","10.40","","9.90","r","--","r","-7","","7","","1","","-331",""
"02/03/2020","10.40","","9.90","r","--","r","-7","","7","","1","","-331",""
"02/04/2020","10.57","","10.07","r","--","r","0","","24","","14","","-176",""
"02/05/2020","10.97","","10.47","r","42","","12","","36","","29","","119",""
"02/06/2020","11.43","","10.93","r","3","","22","","40","","30","","-203",""
"02/07/2020","11.48","","10.98","r","38","","19","","48","","30","","175",""
"02/08/2020","11.18","","10.68","r","40","","14","","41","","27","","218",""
"02/09/2020","10.88","","10.38","r","2","","7","","12","","10","","-255",""
"02/10/2020","11.05","","10.55","r","40","","5","","31","","20","","-408",""
"02/11/2020","11.36","","10.86","r","3","","18","","36","","27","","-165",""
"02/12/2020","11.65","","11.15","r","39","","15","","40","","23","","-248",""
"02/13/2020","11.81","","11.31","r","39","","13","","41","","22","","-328",""
"02/14/2020","11.87","","11.37","r","41","","12","","38","","23","","-173",""
"02/15/2020","11.87","","11.37","r","--","","18","","42","","29","","331",""
"02/16/2020","11.75","","11.25","r","38","","22","","38","","31","","471",""
"02/17/2020","11.91","","11.41","r","38","","14","","35","","23","","-258",""
"02/18/2020","11.60","","11.10","r","38","","13","","35","","23","","-258",""
"02/19/2020","11.35","","10.85","r","20","","10","","34","","21","","123",""
"02/20/2020","11.40","","10.90","r","38","","11","","39","","22","","-84",""
"02/21/2020","11.68","","11.18","r","38","","12","","37","","24","","-183",""
"02/22/2020","11.76","","11.26","r","--","","19","","30","","26","","93",""
"02/23/2020","11.78","","11.28","r","2","N","12","","40","","26","","116",""
"02/24/2020","11.34","","10.84","r","--","","14","","40","","28","","212",""
"02/25/2020","10.73","","10.23","r","1","N","20","","41","","30","","244",""
"02/26/2020","9.17","","10.10","e","1","N","21","","45","","30","","359",""
"02/27/2020","9.21","","9.90","e","35","","20","","46","","31","","596",""
"02/28/2020","9.77","","9.80","e","35","","22","","43","","30","","475",""
"02/29/2020","10.19","","9.69","r","35","","18","","36","","27","","796",""
"03/01/2020","10.35","","9.85","r","25","","8","","21","","15","","-1,251",""
"03/02/2020","10.53","","10.03","r","45","","4","","31","","19","","-416",""
"03/03/2020","10.50","","10.00","r","--","","--","","--","","--","","--",""
