STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,82,SNO ADJ,19801026 0000,19801026 0000,0.00,,INCHES
DAN,D,82,SNO ADJ,19801027 0000,19801027 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801028 0000,19801028 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801029 0000,19801029 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801030 0000,19801030 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801031 0000,19801031 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801101 0000,19801101 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801102 0000,19801102 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801103 0000,19801103 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801104 0000,19801104 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801105 0000,19801105 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801106 0000,19801106 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801107 0000,19801107 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801108 0000,19801108 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801109 0000,19801109 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801110 0000,19801110 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801111 0000,19801111 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801112 0000,19801112 0000,0.70,,INCHES
DAN,D,82,SNO ADJ,19801113 0000,19801113 0000,1.30,,INCHES
DAN,D,82,SNO ADJ,19801114 0000,19801114 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801115 0000,19801115 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801116 0000,19801116 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801117 0000,19801117 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801118 0000,19801118 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801119 0000,19801119 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801120 0000,19801120 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801121 0000,19801121 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801122 0000,19801122 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801123 0000,19801123 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801124 0000,19801124 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801125 0000,19801125 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801126 0000,19801126 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801127 0000,19801127 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801128 0000,19801128 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801129 0000,19801129 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801130 0000,19801130 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801201 0000,19801201 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801202 0000,19801202 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801203 0000,19801203 0000,2.60,,INCHES
DAN,D,82,SNO ADJ,19801204 0000,19801204 0000,3.50,,INCHES
DAN,D,82,SNO ADJ,19801205 0000,19801205 0000,5.10,,INCHES
DAN,D,82,SNO ADJ,19801206 0000,19801206 0000,5.10,,INCHES
DAN,D,82,SNO ADJ,19801207 0000,19801207 0000,5.10,,INCHES
DAN,D,82,SNO ADJ,19801208 0000,19801208 0000,5.10,,INCHES
DAN,D,82,SNO ADJ,19801209 0000,19801209 0000,5.10,,INCHES
DAN,D,82,SNO ADJ,19801210 0000,19801210 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801211 0000,19801211 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801212 0000,19801212 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801213 0000,19801213 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801214 0000,19801214 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801215 0000,19801215 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801216 0000,19801216 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801217 0000,19801217 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801218 0000,19801218 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801219 0000,19801219 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801220 0000,19801220 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801221 0000,19801221 0000,7.10,,INCHES
DAN,D,82,SNO ADJ,19801222 0000,19801222 0000,7.10,,INCHES
