STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,30,TEMP AV,19990901 0000,19990901 0000,---, ,DEG F
DAN,D,30,TEMP AV,19990902 0000,19990902 0000,39, ,DEG F
DAN,D,30,TEMP AV,19990903 0000,19990903 0000,43, ,DEG F
DAN,D,30,TEMP AV,19990904 0000,19990904 0000,48, ,DEG F
DAN,D,30,TEMP AV,19990905 0000,19990905 0000,48, ,DEG F
DAN,D,30,TEMP AV,19990906 0000,19990906 0000,49, ,DEG F
DAN,D,30,TEMP AV,19990907 0000,19990907 0000,---, ,DEG F
DAN,D,30,TEMP AV,19990908 0000,19990908 0000,51, ,DEG F
DAN,D,30,TEMP AV,19990909 0000,19990909 0000,48, ,DEG F
DAN,D,30,TEMP AV,19990910 0000,19990910 0000,47, ,DEG F
DAN,D,30,TEMP AV,19990911 0000,19990911 0000,50, ,DEG F
DAN,D,30,TEMP AV,19990912 0000,19990912 0000,51, ,DEG F
DAN,D,30,TEMP AV,19990913 0000,19990913 0000,48, ,DEG F
DAN,D,30,TEMP AV,19990914 0000,19990914 0000,50, ,DEG F
DAN,D,30,TEMP AV,19990915 0000,19990915 0000,47, ,DEG F
DAN,D,30,TEMP AV,19990916 0000,19990916 0000,47, ,DEG F
DAN,D,30,TEMP AV,19990917 0000,19990917 0000,46, ,DEG F
DAN,D,30,TEMP AV,19990918 0000,19990918 0000,39, ,DEG F
DAN,D,30,TEMP AV,19990919 0000,19990919 0000,43, ,DEG F
DAN,D,30,TEMP AV,19990920 0000,19990920 0000,46, ,DEG F
DAN,D,30,TEMP AV,19990921 0000,19990921 0000,---, ,DEG F
DAN,D,30,TEMP AV,19990922 0000,19990922 0000,43, ,DEG F
DAN,D,30,TEMP AV,19990923 0000,19990923 0000,41, ,DEG F
DAN,D,30,TEMP AV,19990924 0000,19990924 0000,46, ,DEG F
DAN,D,30,TEMP AV,19990925 0000,19990925 0000,50, ,DEG F
DAN,D,30,TEMP AV,19990926 0000,19990926 0000,51, ,DEG F
DAN,D,30,TEMP AV,19990927 0000,19990927 0000,51, ,DEG F
DAN,D,30,TEMP AV,19990928 0000,19990928 0000,48, ,DEG F
DAN,D,30,TEMP AV,19990929 0000,19990929 0000,49, ,DEG F
DAN,D,30,TEMP AV,19990930 0000,19990930 0000,48, ,DEG F
DAN,D,30,TEMP AV,19991001 0000,19991001 0000,46, ,DEG F
DAN,D,30,TEMP AV,19991002 0000,19991002 0000,43, ,DEG F
DAN,D,30,TEMP AV,19991003 0000,19991003 0000,44, ,DEG F
DAN,D,30,TEMP AV,19991004 0000,19991004 0000,41, ,DEG F
DAN,D,30,TEMP AV,19991005 0000,19991005 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991006 0000,19991006 0000,30, ,DEG F
DAN,D,30,TEMP AV,19991007 0000,19991007 0000,43, ,DEG F
DAN,D,30,TEMP AV,19991008 0000,19991008 0000,47, ,DEG F
DAN,D,30,TEMP AV,19991009 0000,19991009 0000,46, ,DEG F
DAN,D,30,TEMP AV,19991010 0000,19991010 0000,45, ,DEG F
DAN,D,30,TEMP AV,19991011 0000,19991011 0000,44, ,DEG F
DAN,D,30,TEMP AV,19991012 0000,19991012 0000,46, ,DEG F
DAN,D,30,TEMP AV,19991013 0000,19991013 0000,46, ,DEG F
DAN,D,30,TEMP AV,19991014 0000,19991014 0000,44, ,DEG F
DAN,D,30,TEMP AV,19991015 0000,19991015 0000,42, ,DEG F
DAN,D,30,TEMP AV,19991016 0000,19991016 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991017 0000,19991017 0000,41, ,DEG F
DAN,D,30,TEMP AV,19991018 0000,19991018 0000,42, ,DEG F
DAN,D,30,TEMP AV,19991019 0000,19991019 0000,42, ,DEG F
DAN,D,30,TEMP AV,19991020 0000,19991020 0000,42, ,DEG F
DAN,D,30,TEMP AV,19991021 0000,19991021 0000,42, ,DEG F
DAN,D,30,TEMP AV,19991022 0000,19991022 0000,41, ,DEG F
DAN,D,30,TEMP AV,19991023 0000,19991023 0000,38, ,DEG F
DAN,D,30,TEMP AV,19991024 0000,19991024 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991025 0000,19991025 0000,42, ,DEG F
DAN,D,30,TEMP AV,19991026 0000,19991026 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991027 0000,19991027 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991028 0000,19991028 0000,---, ,DEG F
DAN,D,30,TEMP AV,19991029 0000,19991029 0000,38, ,DEG F
DAN,D,30,TEMP AV,19991030 0000,19991030 0000,42, ,DEG F
DAN,D,30,TEMP AV,19991031 0000,19991031 0000,41, ,DEG F
DAN,D,30,TEMP AV,19991101 0000,19991101 0000,42, ,DEG F
DAN,D,30,TEMP AV,19991102 0000,19991102 0000,40, ,DEG F
DAN,D,30,TEMP AV,19991103 0000,19991103 0000,38, ,DEG F
DAN,D,30,TEMP AV,19991104 0000,19991104 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991105 0000,19991105 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991106 0000,19991106 0000,---, ,DEG F
DAN,D,30,TEMP AV,19991107 0000,19991107 0000,---, ,DEG F
DAN,D,30,TEMP AV,19991108 0000,19991108 0000,25, ,DEG F
DAN,D,30,TEMP AV,19991109 0000,19991109 0000,30, ,DEG F
DAN,D,30,TEMP AV,19991110 0000,19991110 0000,34, ,DEG F
DAN,D,30,TEMP AV,19991111 0000,19991111 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991112 0000,19991112 0000,39, ,DEG F
DAN,D,30,TEMP AV,19991113 0000,19991113 0000,40, ,DEG F
DAN,D,30,TEMP AV,19991114 0000,19991114 0000,43, ,DEG F
DAN,D,30,TEMP AV,19991115 0000,19991115 0000,35, ,DEG F
DAN,D,30,TEMP AV,19991116 0000,19991116 0000,---, ,DEG F
DAN,D,30,TEMP AV,19991117 0000,19991117 0000,21, ,DEG F
DAN,D,30,TEMP AV,19991118 0000,19991118 0000,33, ,DEG F
DAN,D,30,TEMP AV,19991119 0000,19991119 0000,30, ,DEG F
DAN,D,30,TEMP AV,19991120 0000,19991120 0000,25, ,DEG F
DAN,D,30,TEMP AV,19991121 0000,19991121 0000,15, ,DEG F
DAN,D,30,TEMP AV,19991122 0000,19991122 0000,17, ,DEG F
