STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,3,SNOW WC,20000101 0000,20000101 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000102 0000,20000102 0500,3.92, ,INCHES
DAN,D,3,SNOW WC,20000103 0000,20000103 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000104 0000,20000104 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000105 0000,20000105 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000106 0000,20000106 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000107 0000,20000107 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000108 0000,20000108 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000109 0000,20000109 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000110 0000,20000110 0500,3.26, ,INCHES
DAN,D,3,SNOW WC,20000111 0000,20000111 0500,3.92, ,INCHES
DAN,D,3,SNOW WC,20000112 0000,20000112 0500,4.57, ,INCHES
DAN,D,3,SNOW WC,20000113 0000,20000113 0500,4.57, ,INCHES
DAN,D,3,SNOW WC,20000114 0000,20000114 0500,4.57, ,INCHES
DAN,D,3,SNOW WC,20000115 0000,20000115 0500,4.57, ,INCHES
DAN,D,3,SNOW WC,20000116 0000,20000116 0500,5.88, ,INCHES
DAN,D,3,SNOW WC,20000117 0000,20000117 0500,6.53, ,INCHES
DAN,D,3,SNOW WC,20000118 0000,20000118 0500,7.19, ,INCHES
DAN,D,3,SNOW WC,20000119 0000,20000119 0500,9.15, ,INCHES
DAN,D,3,SNOW WC,20000120 0000,20000120 0500,9.15, ,INCHES
DAN,D,3,SNOW WC,20000121 0000,20000120 2300,9.15, ,INCHES
DAN,D,3,SNOW WC,20000122 0000,20000122 0500,9.15, ,INCHES
DAN,D,3,SNOW WC,20000123 0000,20000123 0500,9.15, ,INCHES
DAN,D,3,SNOW WC,20000124 0000,20000124 0500,11.11, ,INCHES
DAN,D,3,SNOW WC,20000125 0000,20000125 0700,13.72, ,INCHES
DAN,D,3,SNOW WC,20000126 0000,20000126 0500,13.72, ,INCHES
DAN,D,3,SNOW WC,20000127 0000,20000127 0200,13.72, ,INCHES
DAN,D,3,SNOW WC,20000128 0000,20000128 0500,13.72, ,INCHES
DAN,D,3,SNOW WC,20000129 0000,20000129 0500,13.72, ,INCHES
DAN,D,3,SNOW WC,20000130 0000,20000130 0500,14.37, ,INCHES
DAN,D,3,SNOW WC,20000131 0000,20000131 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000201 0000,20000201 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000202 0000,20000202 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000203 0000,20000203 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000204 0000,20000204 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000205 0000,20000205 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000206 0000,20000206 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000207 0000,20000207 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000208 0000,20000208 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000209 0000,20000209 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000210 0000,20000210 0500,15.68, ,INCHES
DAN,D,3,SNOW WC,20000211 0000,20000211 0500,16.34, ,INCHES
DAN,D,3,SNOW WC,20000212 0000,20000212 0500,17.64, ,INCHES
DAN,D,3,SNOW WC,20000213 0000,20000213 0500,18.30, ,INCHES
DAN,D,3,SNOW WC,20000214 0000,20000214 0500,21.56, ,INCHES
DAN,D,3,SNOW WC,20000215 0000,20000215 0500,21.56, ,INCHES
DAN,D,3,SNOW WC,20000216 0000,20000216 0500,21.56, ,INCHES
DAN,D,3,SNOW WC,20000217 0000,20000217 0500,22.22, ,INCHES
DAN,D,3,SNOW WC,20000218 0000,20000218 0500,22.22, ,INCHES
DAN,D,3,SNOW WC,20000219 0000,20000219 0500,22.22, ,INCHES
DAN,D,3,SNOW WC,20000220 0000,20000220 0500,22.22, ,INCHES
DAN,D,3,SNOW WC,20000221 0000,20000221 0500,22.87, ,INCHES
DAN,D,3,SNOW WC,20000222 0000,20000222 0500,22.87, ,INCHES
DAN,D,3,SNOW WC,20000223 0000,20000223 0500,23.52, ,INCHES
DAN,D,3,SNOW WC,20000224 0000,20000224 0500,23.52, ,INCHES
DAN,D,3,SNOW WC,20000225 0000,20000225 0500,24.18, ,INCHES
DAN,D,3,SNOW WC,20000226 0000,20000226 0500,24.18, ,INCHES
DAN,D,3,SNOW WC,20000227 0000,20000227 0500,24.83, ,INCHES
DAN,D,3,SNOW WC,20000228 0000,20000228 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000229 0000,20000229 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000301 0000,20000301 0500,26.79, ,INCHES
DAN,D,3,SNOW WC,20000302 0000,20000302 0500,26.79, ,INCHES
DAN,D,3,SNOW WC,20000303 0000,20000303 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000304 0000,20000304 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000305 0000,20000305 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000306 0000,20000306 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000307 0000,20000307 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000308 0000,20000308 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000309 0000,20000309 0200,28.10, ,INCHES
DAN,D,3,SNOW WC,20000310 0000,20000310 0500,28.10, ,INCHES
DAN,D,3,SNOW WC,20000311 0000,20000311 0500,28.10, ,INCHES
DAN,D,3,SNOW WC,20000312 0000,20000312 0500,28.10, ,INCHES
DAN,D,3,SNOW WC,20000313 0000,20000313 0500,28.10, ,INCHES
DAN,D,3,SNOW WC,20000314 0000,20000314 0500,28.10, ,INCHES
DAN,D,3,SNOW WC,20000315 0000,20000315 0500,28.10, ,INCHES
DAN,D,3,SNOW WC,20000316 0000,20000316 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000317 0000,20000317 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000318 0000,20000318 0500,27.45, ,INCHES
DAN,D,3,SNOW WC,20000319 0000,20000319 0500,26.79, ,INCHES
DAN,D,3,SNOW WC,20000320 0000,20000320 0500,26.79, ,INCHES
DAN,D,3,SNOW WC,20000321 0000,20000321 0500,26.79, ,INCHES
DAN,D,3,SNOW WC,20000322 0000,20000322 0500,26.79, ,INCHES
DAN,D,3,SNOW WC,20000323 0000,20000323 0500,26.79, ,INCHES
DAN,D,3,SNOW WC,20000324 0000,20000324 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000325 0000,20000325 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000326 0000,20000326 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000327 0000,20000327 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000328 0000,20000328 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000329 0000,20000329 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000330 0000,20000330 0500,25.49, ,INCHES
DAN,D,3,SNOW WC,20000331 0000,20000331 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000401 0000,20000401 0500,26.14, ,INCHES
DAN,D,3,SNOW WC,20000402 0000,20000401 2300,25.49, ,INCHES
DAN,D,3,SNOW WC,20000403 0000,20000403 0300,24.83, ,INCHES
DAN,D,3,SNOW WC,20000404 0000,20000404 0300,24.83, ,INCHES
DAN,D,3,SNOW WC,20000405 0000,20000405 0300,24.83, ,INCHES
DAN,D,3,SNOW WC,20000406 0000,20000406 0300,24.18, ,INCHES
DAN,D,3,SNOW WC,20000407 0000,20000407 0300,24.18, ,INCHES
DAN,D,3,SNOW WC,20000408 0000,20000408 0300,23.52, ,INCHES
DAN,D,3,SNOW WC,20000409 0000,20000409 0000,---, ,INCHES
DAN,D,3,SNOW WC,20000410 0000,20000410 0000,---, ,INCHES
DAN,D,3,SNOW WC,20000411 0000,20000411 0300,22.22, ,INCHES
DAN,D,3,SNOW WC,20000412 0000,20000412 0300,21.56, ,INCHES
DAN,D,3,SNOW WC,20000413 0000,20000413 0300,20.91, ,INCHES
DAN,D,3,SNOW WC,20000414 0000,20000414 0300,22.22, ,INCHES
DAN,D,3,SNOW WC,20000415 0000,20000415 0300,21.56, ,INCHES
DAN,D,3,SNOW WC,20000416 0000,20000416 0300,21.56, ,INCHES
DAN,D,3,SNOW WC,20000417 0000,20000417 0300,20.91, ,INCHES
DAN,D,3,SNOW WC,20000418 0000,20000418 0300,21.56, ,INCHES
DAN,D,3,SNOW WC,20000419 0000,20000419 0300,21.56, ,INCHES
DAN,D,3,SNOW WC,20000420 0000,20000420 0300,20.91, ,INCHES
DAN,D,3,SNOW WC,20000421 0000,20000421 0300,20.91, ,INCHES
DAN,D,3,SNOW WC,20000422 0000,20000422 0300,20.91, ,INCHES
DAN,D,3,SNOW WC,20000423 0000,20000423 0300,20.91, ,INCHES
DAN,D,3,SNOW WC,20000424 0000,20000424 0300,20.91, ,INCHES
DAN,D,3,SNOW WC,20000425 0000,20000425 0300,20.26, ,INCHES
DAN,D,3,SNOW WC,20000426 0000,20000426 0300,19.60, ,INCHES
DAN,D,3,SNOW WC,20000427 0000,20000427 0300,18.95, ,INCHES
DAN,D,3,SNOW WC,20000428 0000,20000428 0300,17.64, ,INCHES
DAN,D,3,SNOW WC,20000429 0000,20000429 0300,17.64, ,INCHES
DAN,D,3,SNOW WC,20000430 0000,20000430 0300,16.34, ,INCHES
DAN,D,3,SNOW WC,20000501 0000,20000501 0300,15.03, ,INCHES
DAN,D,3,SNOW WC,20000502 0000,20000502 0300,13.72, ,INCHES
DAN,D,3,SNOW WC,20000503 0000,20000503 0300,13.72, ,INCHES
DAN,D,3,SNOW WC,20000504 0000,20000504 0300,14.37, ,INCHES
DAN,D,3,SNOW WC,20000505 0000,20000505 0300,13.07, ,INCHES
DAN,D,3,SNOW WC,20000506 0000,20000506 0300,13.07, ,INCHES
DAN,D,3,SNOW WC,20000507 0000,20000507 0300,13.07, ,INCHES
DAN,D,3,SNOW WC,20000508 0000,20000508 0300,13.72, ,INCHES
DAN,D,3,SNOW WC,20000509 0000,20000509 0300,13.07, ,INCHES
DAN,D,3,SNOW WC,20000510 0000,20000510 0300,13.07, ,INCHES
DAN,D,3,SNOW WC,20000511 0000,20000511 0300,13.07, ,INCHES
DAN,D,3,SNOW WC,20000512 0000,20000512 0300,13.07, ,INCHES
