#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 669: North Lost Trail, CO
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                           
# Precipitation Accumulation          Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           PREC          Water year accumulated precipitation  
# Precipitation Increment             Value       None           Day                           N/A        Inches             N/A           PRCP          Total precipitation                   
# Precipitation Increment - Snow-adj  Value       None           Day                           N/A        Inches             N/A           PRCPSA        Snow adjusted total preciptation      
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# North Lost Trail (669) 
# Colorado  SNOTEL Site - 9200 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 5, 2020 11:28:55 AM GMT-08:00
#
Date,North Lost Trail (669) Precipitation Accumulation (in) Start of Day Values,North Lost Trail (669) Precipitation Increment (in),North Lost Trail (669) Precipitation Increment - Snow-adj (in)
1985-10-01,0.0,0.00,0.00
1985-10-02,0.0,0.00,0.00
1985-10-03,0.0,0.00,0.00
1985-10-04,0.0,0.00,0.00
1985-10-05,0.0,0.00,0.00
1985-10-06,0.0,0.80,0.80
1985-10-07,0.8,1.60,1.60
1985-10-08,2.4,0.50,0.50
1985-10-09,2.9,0.00,0.00
1985-10-10,2.9,0.10,0.10
1985-10-11,3.0,0.30,0.30
1985-10-12,3.3,0.10,0.10
1985-10-13,3.4,0.70,0.70
1985-10-14,4.1,0.00,0.00
1985-10-15,4.1,0.00,0.00
1985-10-16,4.1,0.00,0.00
1985-10-17,4.1,0.00,0.00
1985-10-18,4.1,0.00,0.00
1985-10-19,4.1,0.00,0.00
1985-10-20,4.1,0.00,0.00
1985-10-21,4.1,0.00,0.00
1985-10-22,4.1,0.20,0.20
1985-10-23,4.3,0.00,0.00
1985-10-24,4.3,0.00,0.00
1985-10-25,4.3,0.10,0.10
1985-10-26,4.4,0.00,0.00
1985-10-27,4.4,0.00,0.00
1985-10-28,4.4,0.00,0.00
1985-10-29,4.4,0.00,0.00
1985-10-30,4.4,0.10,0.10
1985-10-31,4.5,0.10,0.10
1985-11-01,4.6,0.10,0.10
1985-11-02,4.7,0.10,0.10
1985-11-03,4.8,0.00,0.00
1985-11-04,4.8,0.00,0.00
1985-11-05,4.8,0.20,0.20
1985-11-06,5.0,0.00,0.00
1985-11-07,5.0,0.00,0.00
1985-11-08,5.0,0.40,0.40
1985-11-09,5.4,0.20,0.20
1985-11-10,5.6,0.10,0.10
1985-11-11,5.7,0.30,0.30
1985-11-12,6.0,0.50,0.50
1985-11-13,6.5,0.00,0.00
1985-11-14,6.5,0.20,0.30
1985-11-15,6.7,0.10,0.10
1985-11-16,6.8,0.30,0.30
1985-11-17,7.1,0.70,0.80
1985-11-18,7.8,0.30,0.40
1985-11-19,8.1,0.10,0.10
1985-11-20,8.2,0.30,0.30
1985-11-21,8.5,0.10,0.20
1985-11-22,8.6,0.10,0.10
1985-11-23,8.7,0.60,0.60
1985-11-24,9.3,0.70,0.70
1985-11-25,10.0,1.10,1.20
1985-11-26,11.1,0.00,0.00
1985-11-27,11.1,0.00,0.00
1985-11-28,11.1,0.70,0.70
1985-11-29,11.8,1.30,1.30
1985-11-30,13.1,0.10,0.10
1985-12-01,13.2,0.10,0.10
1985-12-02,13.3,0.60,0.60
1985-12-03,13.9,0.20,0.20
1985-12-04,14.1,0.00,0.00
1985-12-05,14.1,0.00,0.00
1985-12-06,14.1,0.00,0.00
1985-12-07,14.1,0.00,0.00
1985-12-08,14.1,0.20,0.20
1985-12-09,14.3,0.00,0.10
1985-12-10,14.3,0.10,0.20
1985-12-11,14.4,0.00,0.10
1985-12-12,14.4,0.20,0.20
1985-12-13,14.6,0.20,0.20
1985-12-14,14.8,0.00,0.10
1985-12-15,14.8,0.00,0.10
1985-12-16,14.8,0.10,0.10
1985-12-17,14.9,0.10,0.10
1985-12-18,15.0,0.10,0.10
1985-12-19,15.1,0.00,0.00
1985-12-20,15.1,0.10,0.10
1985-12-21,15.2,0.00,0.10
1985-12-22,15.2,0.00,0.00
1985-12-23,15.2,0.00,0.00
1985-12-24,15.2,0.00,0.00
1985-12-25,15.2,0.00,0.00
1985-12-26,15.2,0.00,0.00
1985-12-27,15.2,0.00,0.00
1985-12-28,15.2,0.00,0.00
1985-12-29,15.2,0.30,0.30
1985-12-30,15.5,0.40,0.60
1985-12-31,15.9,0.00,0.00
1986-01-01,15.9,0.10,0.10
1986-01-02,16.0,0.00,0.00
1986-01-03,16.0,0.00,0.00
1986-01-04,16.0,0.00,0.00
1986-01-05,16.0,0.10,0.10
1986-01-06,16.1,0.40,0.50
1986-01-07,16.5,0.00,0.00
1986-01-08,16.5,0.10,0.10
1986-01-09,16.6,0.00,0.00
1986-01-10,16.6,0.00,0.00
1986-01-11,16.6,0.00,0.00
1986-01-12,16.6,0.00,0.00
1986-01-13,16.6,0.00,0.00
1986-01-14,16.6,0.00,0.00
1986-01-15,16.6,0.40,0.40
1986-01-16,17.0,0.00,0.10
1986-01-17,17.0,0.00,0.10
1986-01-18,17.0,0.00,0.00
1986-01-19,17.0,0.10,0.10
1986-01-20,17.1,0.00,0.00
1986-01-21,17.1,0.00,0.00
1986-01-22,17.1,0.00,0.00
1986-01-23,17.1,0.00,0.00
1986-01-24,17.1,0.00,0.00
1986-01-25,17.1,0.00,0.00
1986-01-26,17.1,0.00,0.00
1986-01-27,17.1,0.00,0.00
1986-01-28,17.1,0.00,0.00
1986-01-29,17.1,0.00,0.00
1986-01-30,17.1,0.20,0.20
1986-01-31,17.3,0.00,0.00
1986-02-01,17.3,0.00,0.00
1986-02-02,17.3,0.00,0.00
1986-02-03,17.3,0.00,0.00
1986-02-04,17.3,0.00,0.00
1986-02-05,17.3,0.00,0.00
1986-02-06,17.3,0.00,0.00
1986-02-07,17.3,0.30,0.30
1986-02-08,17.6,0.00,0.00
1986-02-09,17.6,0.00,0.00
1986-02-10,17.6,0.20,0.30
1986-02-11,17.8,0.30,0.50
1986-02-12,18.1,0.20,0.20
1986-02-13,18.3,0.70,0.80
1986-02-14,19.0,0.60,0.60
1986-02-15,19.6,0.90,1.10
1986-02-16,20.5,0.30,0.50
1986-02-17,20.8,0.50,0.50
1986-02-18,21.3,0.30,0.50
1986-02-19,21.6,1.20,1.50
1986-02-20,22.8,0.30,0.50
1986-02-21,23.1,0.00,0.00
1986-02-22,23.1,0.20,0.20
1986-02-23,23.3,0.20,0.20
1986-02-24,23.5,0.00,0.20
1986-02-25,23.5,0.00,0.30
1986-02-26,23.5,0.00,0.00
1986-02-27,23.5,0.00,0.00
1986-02-28,23.5,0.00,0.20
1986-03-01,23.5,0.00,0.00
1986-03-02,23.5,0.00,0.00
1986-03-03,23.5,0.00,0.00
1986-03-04,23.5,0.00,0.00
1986-03-05,23.5,0.00,0.00
1986-03-06,23.5,0.00,0.00
1986-03-07,23.5,0.00,0.00
1986-03-08,23.5,0.60,0.60
1986-03-09,24.1,0.50,1.00
1986-03-10,24.6,0.20,0.20
1986-03-11,24.8,0.00,0.30
1986-03-12,24.8,0.00,0.00
1986-03-13,24.8,0.20,0.20
1986-03-14,25.0,0.60,0.60
1986-03-15,25.6,0.00,0.00
1986-03-16,25.6,0.20,0.20
1986-03-17,25.8,0.20,0.20
1986-03-18,26.0,0.00,0.10
1986-03-19,26.0,0.50,0.50
1986-03-20,26.5,0.00,0.10
1986-03-21,26.5,0.10,0.10
