#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 846: Virginia Lakes Ridge, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Virginia Lakes Ridge (846) 
# California  SNOTEL Site - 9400 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Feb 26, 2020 11:36:14 AM GMT-08:00
#
Water Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
,,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1979,01,0.0,0.9,3.2,5.5,9.6,15.4,20.3,20.1,0.0,0.0,0.0,0.0
1979,02,0.0,1.0,3.5,5.5,9.7,15.4,20.3,20.1,0.0,0.0,0.0,0.0
1979,03,0.0,1.1,3.5,5.5,9.8,15.4,20.3,19.7,0.0,0.0,0.0,0.0
1979,04,0.0,1.1,3.5,5.5,9.8,15.4,20.3,19.3,0.0,0.0,0.0,0.0
1979,05,0.0,1.1,3.5,5.5,9.8,15.4,20.5,18.8,0.0,0.0,0.0,0.0
1979,06,0.0,1.1,3.5,5.5,9.8,15.4,20.5,18.2,0.0,0.0,0.0,0.0
1979,07,0.0,1.1,3.5,5.5,9.8,15.4,20.5,18.1,0.0,0.0,0.0,0.0
1979,08,0.0,1.0,3.6,5.5,9.8,15.7,20.5,18.6,0.0,0.0,0.0,0.0
1979,09,0.0,1.1,3.6,5.7,9.7,15.7,20.5,19.0,0.0,0.0,0.0,0.0
1979,10,0.0,1.0,3.6,5.7,9.7,15.7,20.5,19.1,0.0,0.0,0.0,0.0
1979,11,0.0,1.2,3.6,6.1,9.7,15.7,20.5,19.4,0.0,0.0,0.0,0.0
1979,12,0.0,1.3,3.6,7.1,9.7,15.7,20.5,18.8,0.0,0.0,0.0,0.0
1979,13,0.0,1.5,3.6,7.1,9.7,15.7,20.5,18.3,0.0,0.0,0.0,0.0
1979,14,0.0,1.9,3.6,7.2,11.8,15.7,20.5,17.5,0.0,0.0,0.0,0.0
1979,15,0.0,2.0,3.6,8.5,12.3,15.7,20.5,16.5,0.0,0.0,0.0,0.0
1979,16,0.0,1.9,3.6,8.6,12.3,15.9,20.5,15.4,0.0,0.0,0.0,0.0
1979,17,0.0,1.9,3.6,8.6,12.4,16.0,20.5,14.4,0.0,0.0,0.0,0.0
1979,18,0.0,1.9,5.0,8.7,12.5,16.0,20.5,13.6,0.0,0.0,0.0,0.0
1979,19,0.0,2.0,5.2,8.7,12.6,16.5,20.5,12.5,0.0,0.0,0.0,0.0
1979,20,0.0,1.9,5.2,8.7,12.7,17.0,20.5,11.2,0.0,0.0,0.0,0.0
1979,21,0.0,2.9,5.2,8.7,13.5,17.3,20.5,10.1,0.0,0.0,0.0,0.0
1979,22,0.0,3.1,5.2,8.7,14.2,17.4,20.5,8.6,0.0,0.0,0.0,0.0
1979,23,0.0,3.2,5.2,8.7,14.5,17.5,20.5,7.9,0.0,0.0,0.0,0.0
1979,24,0.0,3.2,5.2,8.7,14.6,17.6,21.0,6.7,0.0,0.0,0.0,0.0
1979,25,0.0,3.2,5.2,8.8,14.6,17.7,21.0,5.6,0.0,0.0,0.0,0.0
1979,26,0.0,3.2,5.2,9.0,14.6,17.7,21.0,4.3,0.0,0.0,0.0,0.0
1979,27,0.0,3.2,5.2,9.2,14.7,18.4,21.0,2.5,0.0,0.0,0.0,0.0
1979,28,0.0,3.2,5.2,9.2,14.9,19.8,20.1,1.6,0.0,0.0,0.0,0.0
1979,29,0.0,3.2,5.2,9.2,,19.9,20.1,0.9,0.0,0.0,0.0,0.0
1979,30,0.0,3.2,5.2,9.2,,20.3,20.1,0.5,0.0,0.0,0.0,0.0
1979,31,0.5,,5.2,9.4,,20.3,,0.0,,0.0,0.0,
1980,01,0.0,1.1,2.2,5.6,15.0,25.5,29.9,29.3,14.8,0.0,0.0,0.0
1980,02,0.0,1.1,2.2,5.6,15.0,25.5,30.0,29.0,14.3,0.0,0.0,0.0
1980,03,0.0,1.1,2.2,6.6,15.0,25.9,30.0,28.6,13.4,0.0,0.0,0.0
1980,04,0.0,1.4,2.2,6.5,15.0,26.0,30.0,27.7,12.4,0.0,0.0,0.0
1980,05,0.0,1.6,2.2,6.7,15.1,26.3,30.1,26.7,11.3,0.0,0.0,0.0
1980,06,0.0,1.6,2.2,6.7,15.1,27.3,30.8,25.7,10.4,0.0,0.0,0.0
1980,07,0.0,1.6,2.2,6.5,15.1,27.6,31.0,24.9,9.5,0.0,0.0,0.0
1980,08,0.0,1.6,2.2,6.6,15.1,27.9,31.1,24.2,8.2,0.0,0.0,0.0
1980,09,0.0,1.6,2.2,6.6,15.4,28.1,31.2,24.2,7.1,0.0,0.0,0.0
1980,10,0.0,1.6,2.2,7.2,15.4,28.2,31.2,24.0,5.7,0.0,0.0,0.0
1980,11,0.0,1.6,2.2,8.4,15.4,28.3,31.5,24.4,3.8,0.0,0.0,0.0
1980,12,0.0,1.6,2.2,9.4,15.4,28.3,31.9,24.3,2.3,0.0,0.0,0.0
1980,13,0.0,1.6,2.2,11.2,15.4,28.6,32.3,24.5,2.2,0.0,0.0,0.0
1980,14,0.0,1.6,2.2,13.3,15.6,28.6,32.5,24.4,1.8,0.0,0.0,0.0
1980,15,0.0,1.6,2.2,13.9,15.7,28.6,32.2,24.5,0.9,0.0,0.0,0.0
1980,16,0.0,1.6,2.2,14.3,16.3,28.6,32.1,24.1,0.0,0.0,0.0,0.0
1980,17,0.0,1.6,2.2,14.3,17.4,28.7,31.9,23.9,0.0,0.0,0.0,0.0
1980,18,0.0,1.6,2.2,14.4,18.5,28.8,31.4,22.9,0.0,0.0,0.0,0.0
1980,19,0.0,1.6,2.2,14.4,21.1,28.9,30.9,22.0,0.0,0.0,0.0,0.0
1980,20,0.8,1.6,2.2,14.4,22.6,29.1,30.4,21.0,0.0,0.0,0.0,0.0
1980,21,0.8,1.6,2.2,14.6,23.6,29.1,29.7,19.6,0.0,0.0,0.0,0.0
1980,22,1.0,1.7,2.3,14.6,24.5,29.1,29.9,18.5,0.0,0.0,0.0,0.0
